country,year,share_global_co2,population
China,1900,0.0,401579661.0
China,1901,0.0,403786465.0
China,1902,0.0,406042669.0
China,1903,0.09,408348748.0
China,1904,0.09,410667922.0
China,1905,0.09,413000265.0
China,1906,0.67,415345852.0
China,1907,0.58,417704759.0
China,1908,0.82,420077060.0
China,1909,0.72,422922872.0
China,1910,0.62,426250021.0
China,1911,0.9,430066435.0
China,1912,0.3,434380144.0
China,1913,0.31,439199283.0
China,1914,0.48,444071884.0
China,1915,0.51,448998541.0
China,1916,0.53,453979853.0
China,1917,0.56,459016426.0
China,1918,0.6,464075232.0
China,1919,0.8,468480579.0
China,1920,0.76,472222750.0
China,1921,0.82,475291915.0
China,1922,0.83,477678125.0
China,1923,0.88,479371311.0
China,1924,0.96,481070499.0
China,1925,0.89,482775710.0
China,1926,0.81,484486965.0
China,1927,0.84,486204286.0
China,1928,0.86,487927695.0
China,1929,0.84,489891377.0
China,1930,0.97,492097572.0
China,1931,1.15,494548536.0
China,1932,1.22,497246541.0
China,1933,1.27,500193876.0
China,1934,1.36,503158681.0
China,1935,1.52,506141059.0
China,1936,1.56,509141114.0
China,1937,1.36,512158952.0
China,1938,1.32,515194677.0
China,1939,1.51,518180790.0
China,1940,1.77,521116640.0
China,1941,2.17,524001569.0
China,1942,2.3,526834916.0
China,1943,1.93,529616012.0
China,1944,1.91,532411789.0
China,1945,1.19,535222325.0
China,1946,0.67,538047697.0
China,1947,0.65,540887984.0
China,1948,0.44,543743264.0
China,1949,1.13,548239920.0
China,1950,1.31,554419269.0
China,1951,1.6,569909108.0
China,1952,1.98,582576497.0
China,1953,2.01,593365882.0
China,1954,2.37,603052316.0
China,1955,2.56,612241552.0
China,1956,2.72,621363233.0
China,1957,3.12,630677648.0
China,1958,6.23,640295777.0
China,1959,8.13,650212731.0
China,1960,8.51,660408054.0
China,1961,6.06,670952701.0
China,1962,4.71,682102654.0
China,1963,4.45,694339084.0
China,1964,4.25,708254602.0
China,1965,4.42,724218970.0
China,1966,4.63,742414887.0
China,1967,3.76,762581176.0
China,1968,3.84,784074715.0
China,1969,4.41,805985941.0
China,1970,5.42,827601385.0
China,1971,5.87,848759709.0
China,1972,5.97,869485962.0
China,1973,5.9,889485368.0
China,1974,6.04,908464206.0
China,1975,6.94,926240889.0
China,1976,6.82,942685412.0
China,1977,7.25,957891271.0
China,1978,7.83,972205441.0
China,1979,7.78,986132214.0
China,1980,7.67,1000089228.0
China,1981,7.76,1014022211.0
China,1982,8.51,1027948989.0
China,1983,8.92,1042431401.0
China,1984,9.39,1058171973.0
China,1985,9.83,1075589363.0
China,1986,10.2,1095014106.0
China,1987,10.62,1116095475.0
China,1988,10.98,1137724234.0
China,1989,11.0,1158357393.0
China,1990,10.92,1176883681.0
China,1991,11.21,1192897277.0
China,1992,12.1,1206711243.0
China,1993,12.81,1218817059.0
China,1994,13.5,1230020026.0
China,1995,14.32,1240920539.0
China,1996,14.5,1251636178.0
China,1997,14.44,1261996017.0
China,1998,13.88,1271982349.0
China,1999,13.66,1281514833.0
Ethiopia,1941,0.0,17888877.0
Ethiopia,1942,0.0,17888877.0
Ethiopia,1943,0.0,17888877.0
Ethiopia,1944,0.0,17888877.0
Ethiopia,1945,0.0,17888877.0
Ethiopia,1946,0.0,17888877.0
Ethiopia,1947,0.0,17888877.0
Ethiopia,1948,0.0,17888877.0
Ethiopia,1949,0.0,17968011.0
Ethiopia,1950,0.0,18128030.0
Ethiopia,1951,0.0,18466973.0
Ethiopia,1952,0.0,18819701.0
Ethiopia,1953,0.0,19184288.0
Ethiopia,1954,0.0,19560012.0
Ethiopia,1955,0.0,19947291.0
Ethiopia,1956,0.0,20347810.0
Ethiopia,1957,0.0,20764450.0
Ethiopia,1958,0.0,21201028.0
Ethiopia,1959,0.0,21661994.0
Ethiopia,1960,0.0,22151284.0
Ethiopia,1961,0.0,22671193.0
Ethiopia,1962,0.0,23221385.0
Ethiopia,1963,0.0,23798418.0
Ethiopia,1964,0.0,24397010.0
Ethiopia,1965,0.01,25013634.0
Ethiopia,1966,0.01,25641040.0
Ethiopia,1967,0.01,26280135.0
Ethiopia,1968,0.01,26944386.0
Ethiopia,1969,0.01,27652715.0
Ethiopia,1970,0.01,28415080.0
Ethiopia,1971,0.01,29248650.0
Ethiopia,1972,0.01,30140799.0
Ethiopia,1973,0.01,31036670.0
Ethiopia,1974,0.01,31861353.0
Ethiopia,1975,0.01,32566855.0
Ethiopia,1976,0.01,33128150.0
Ethiopia,1977,0.01,33577240.0
Ethiopia,1978,0.01,33993301.0
Ethiopia,1979,0.01,34487806.0
Ethiopia,1980,0.01,35141703.0
Ethiopia,1981,0.01,35984531.0
Ethiopia,1982,0.01,36995246.0
Ethiopia,1983,0.01,38142679.0
Ethiopia,1984,0.01,39374346.0
Ethiopia,1985,0.01,40652146.0
Ethiopia,1986,0.01,41965696.0
Ethiopia,1987,0.01,43329238.0
Ethiopia,1988,0.01,44757205.0
Ethiopia,1989,0.01,46272308.0
Ethiopia,1990,0.01,47887864.0
Ethiopia,1991,0.01,49609976.0
Ethiopia,1992,0.01,51423591.0
Ethiopia,1993,0.01,53295556.0
Ethiopia,1994,0.01,55180993.0
Ethiopia,1995,0.01,57047906.0
Ethiopia,1996,0.01,58883531.0
Ethiopia,1997,0.01,60697443.0
Ethiopia,1998,0.01,62507724.0
Ethiopia,1999,0.01,64343008.0
India,1900,0.61,291979136.0
India,1901,0.65,293373897.0
India,1902,0.7,295026710.0
India,1903,0.66,296939909.0
India,1904,0.73,298865451.0
India,1905,0.7,300803415.0
India,1906,0.77,302753881.0
India,1907,0.76,304716930.0
India,1908,0.9,306692643.0
India,1909,0.84,308378771.0
India,1910,0.78,309772810.0
India,1911,0.81,310872238.0
India,1912,0.88,311674516.0
India,1913,0.9,312177087.0
India,1914,1.0,312680404.0
India,1915,1.06,313184465.0
India,1916,0.99,313689273.0
India,1917,0.99,314194829.0
India,1918,1.13,314556958.0
India,1919,1.43,315455236.0
India,1920,1.0,316895450.0
India,1921,1.22,318883445.0
India,1922,1.15,321425121.0
India,1923,1.04,324526435.0
India,1924,1.11,327657673.0
India,1925,1.08,330819124.0
India,1926,1.1,334011077.0
India,1927,1.05,337233829.0
India,1928,1.01,340487677.0
India,1929,0.98,344079020.0
India,1930,1.08,348015421.0
India,1931,1.11,352304571.0
India,1932,1.15,356954300.0
India,1933,1.07,361972574.0
India,1934,1.1,367061397.0
India,1935,1.09,372221763.0
India,1936,0.98,377454675.0
India,1937,1.01,382761156.0
India,1938,1.2,388142237.0
India,1939,1.11,391883882.0
India,1940,1.08,393975786.0
India,1941,1.08,394407406.0
India,1942,1.09,393167957.0
India,1943,0.93,390246408.0
India,1944,0.94,387346568.0
India,1945,1.25,384468277.0
India,1946,1.13,381611373.0
India,1947,1.04,378775698.0
India,1948,0.99,375961095.0
India,1949,1.07,375136619.0
India,1950,1.02,376325200.0
India,1951,1.0,382376945.0
India,1952,1.04,388799076.0
India,1953,1.03,395544365.0
India,1954,1.07,402578594.0
India,1955,1.06,409880606.0
India,1956,1.03,417442811.0
India,1957,1.12,425270709.0
India,1958,1.14,433380978.0
India,1959,1.15,441798571.0
India,1960,1.19,450547675.0
India,1961,1.28,459642166.0
India,1962,1.36,469077191.0
India,1963,1.39,478825602.0
India,1964,1.29,488848139.0
India,1965,1.36,499123328.0
India,1966,1.34,509631509.0
India,1967,1.3,520400577.0
India,1968,1.35,531513834.0
India,1969,1.29,543084333.0
India,1970,1.22,555189797.0
India,1971,1.24,567868021.0
India,1972,1.25,581087255.0
India,1973,1.23,594770136.0
India,1974,1.27,608802595.0
India,1975,1.38,623102900.0
India,1976,1.36,637630085.0
India,1977,1.4,652408766.0
India,1978,1.38,667499815.0
India,1979,1.41,682995348.0
India,1980,1.5,698952837.0
India,1981,1.66,715384997.0
India,1982,1.73,732239498.0
India,1983,1.86,749428958.0
India,1984,1.84,766833411.0
India,1985,1.96,784360012.0
India,1986,2.07,801975250.0
India,1987,2.14,819682095.0
India,1988,2.23,837468938.0
India,1989,2.42,855334675.0
India,1990,2.54,873277799.0
India,1991,2.65,891273202.0
India,1992,2.91,909307018.0
India,1993,2.97,927403866.0
India,1994,3.12,945601828.0
India,1995,3.25,963922586.0
India,1996,3.42,982365248.0
India,1997,3.54,1000900028.0
India,1998,3.63,1019483586.0
India,1999,3.88,1038058154.0
United States,1900,33.95,78763706.0
United States,1901,35.78,80336086.0
United States,1902,36.97,81949920.0
United States,1903,39.64,83606240.0
United States,1904,38.66,85296008.0
United States,1905,40.6,87019897.0
United States,1906,40.58,88778597.0
United States,1907,41.72,90572810.0
United States,1908,37.92,92403252.0
United States,1909,40.38,94167861.0
United States,1910,42.0,95863718.0
United States,1911,40.83,97487822.0
United States,1912,41.62,99037086.0
United States,1913,41.31,100508338.0
United States,1914,41.6,102001413.0
United States,1915,43.77,103516631.0
United States,1916,45.03,105054323.0
United States,1917,47.37,106614820.0
United States,1918,50.23,108135496.0
United States,1919,49.06,109687474.0
United States,1920,49.56,111271341.0
United States,1921,46.28,112887696.0
United States,1922,44.5,114537147.0
United States,1923,51.81,116220314.0
United States,1924,46.25,117928215.0
United States,1925,47.35,119661215.0
United States,1926,52.29,121419682.0
United States,1927,46.79,123203991.0
United States,1928,46.2,125014520.0
United States,1929,46.14,126654267.0
United States,1930,44.48,128119335.0
United States,1931,42.36,129405760.0
United States,1932,39.81,130509510.0
United States,1933,40.55,131426486.0
United States,1934,39.7,132349904.0
United States,1935,39.31,133279810.0
United States,1936,41.08,134216250.0
United States,1937,40.2,135159270.0
United States,1938,36.13,136108915.0
United States,1939,37.65,137254990.0
United States,1940,38.66,138601511.0
United States,1941,41.21,140152562.0
United States,1942,44.5,141912292.0
United States,1943,45.23,143884915.0
United States,1944,47.89,145884958.0
United States,1945,55.59,147912803.0
United States,1946,48.72,149968835.0
United States,1947,48.45,152053446.0
United States,1948,47.81,154167035.0
United States,1949,41.29,156416114.0
United States,1950,42.33,158804397.0
United States,1951,41.05,160872264.0
United States,1952,39.46,163266026.0
United States,1953,39.3,165909996.0
United States,1954,36.66,168736390.0
United States,1955,36.66,171685337.0
United States,1956,36.09,174705006.0
United States,1957,34.64,177751477.0
United States,1958,32.63,180788387.0
United States,1959,31.97,183786249.0
United States,1960,30.86,186720570.0
United States,1961,30.65,189569850.0
United States,1962,30.7,192313747.0
United States,1963,30.44,194932400.0
United States,1964,30.14,197408497.0
United States,1965,30.04,199733679.0
United States,1966,30.1,201895760.0
United States,1967,30.26,203905081.0
United States,1968,29.75,205805756.0
United States,1969,29.31,207659274.0
United States,1970,29.13,209513340.0
United States,1971,28.17,211384079.0
United States,1972,28.19,213269805.0
United States,1973,28.02,215178797.0
United States,1974,27.17,217114898.0
United States,1975,26.27,219081250.0
United States,1976,26.4,221086427.0
United States,1977,26.44,223135659.0
United States,1978,25.91,225223307.0
United States,1979,25.54,227339321.0
United States,1980,24.67,229476360.0
United States,1981,24.63,231636065.0
United States,1982,23.56,233821851.0
United States,1983,23.31,236030236.0
United States,1984,23.72,238256849.0
United States,1985,22.9,240499822.0
United States,1986,22.62,242763137.0
United States,1987,22.69,245052780.0
United States,1988,22.85,247372258.0
United States,1989,22.9,249725809.0
United States,1990,22.48,252120309.0
United States,1991,21.77,254539371.0
United States,1992,22.9,256990608.0
United States,1993,23.1,259532130.0
United States,1994,23.34,262241204.0
United States,1995,23.12,265163740.0
United States,1996,23.23,268335007.0
United States,1997,23.4,271713634.0
United States,1998,23.68,275175309.0
United States,1999,23.67,278548148.0
